"","Participant_Public_ID","Task_Name","Question_Key","Response"
"1","ucjf5it7","Art interests","art_interest",5
"2","ucjf5it7","Art interests","art_visits",1
"3","ucjf5it7","Art interests","art_knowledge",4
"4","x15hufum","Art interests","art_interest",4
"5","x15hufum","Art interests","art_visits",6
"6","x15hufum","Art interests","art_knowledge",3
"7","wopxcyrw","Art interests","art_interest",3
"8","wopxcyrw","Art interests","art_visits",1
"9","wopxcyrw","Art interests","art_knowledge",2
"10","wyly5896","Art interests","art_interest",5
"11","wyly5896","Art interests","art_knowledge",4
"12","u4ckj0xb","Art interests","art_interest",4
"13","u4ckj0xb","Art interests","art_visits",1
"14","u4ckj0xb","Art interests","art_knowledge",2
"15","rcburgqm","Art interests","art_interest",4
"16","rcburgqm","Art interests","art_visits",1
"17","rcburgqm","Art interests","art_knowledge",3
"18","p1el4un1","Art interests","art_interest",4
"19","p1el4un1","Art interests","art_knowledge",3
"20","7ca8udou","Art interests","art_interest",5
"21","7ca8udou","Art interests","art_visits",30
"22","7ca8udou","Art interests","art_knowledge",4
"23","fbdvz2jm","Art interests","art_interest",4
"24","fbdvz2jm","Art interests","art_visits",2
"25","fbdvz2jm","Art interests","art_knowledge",3
"26","lcoa0ulz","Art interests","art_interest",5
"27","lcoa0ulz","Art interests","art_knowledge",4
"28","c10bu2ue","Art interests","art_interest",4
"29","c10bu2ue","Art interests","art_visits",5
"30","c10bu2ue","Art interests","art_knowledge",2
"31","5zqcqbja","Art interests","art_interest",4
"32","5zqcqbja","Art interests","art_visits",0
"33","5zqcqbja","Art interests","art_knowledge",3
"34","rjld64yp","Art interests","art_interest",4
"35","rjld64yp","Art interests","art_visits",4
"36","rjld64yp","Art interests","art_knowledge",4
"37","3qnbpkqy","Art interests","art_interest",3
"38","3qnbpkqy","Art interests","art_visits",2
"39","3qnbpkqy","Art interests","art_knowledge",3
"40","fnw3740u","Art interests","art_interest",4
"41","fnw3740u","Art interests","art_visits",1
"42","fnw3740u","Art interests","art_knowledge",2
"43","awnaa38f","Art interests","art_interest",5
"44","awnaa38f","Art interests","art_visits",20
"45","awnaa38f","Art interests","art_knowledge",4
"46","9fuapkwo","Art interests","art_interest",5
"47","9fuapkwo","Art interests","art_visits",17
"48","9fuapkwo","Art interests","art_knowledge",4
"49","x9hun3az","Art interests","art_interest",5
"50","x9hun3az","Art interests","art_visits",7
"51","x9hun3az","Art interests","art_knowledge",3
"52","fhonwjzj","Art interests","art_interest",6
"53","fhonwjzj","Art interests","art_visits",12
"54","fhonwjzj","Art interests","art_knowledge",5
"55","nqcfkk0t","Art interests","art_interest",4
"56","nqcfkk0t","Art interests","art_visits",6
"57","nqcfkk0t","Art interests","art_knowledge",2
"58","7end2q7p","Art interests","art_interest",4
"59","7end2q7p","Art interests","art_visits",4
"60","7end2q7p","Art interests","art_knowledge",2
"61","ekh4e8la","Art interests","art_interest",5
"62","ekh4e8la","Art interests","art_visits",15
"63","ekh4e8la","Art interests","art_knowledge",3
"64","pgijg573","Art interests","art_interest",4
"65","pgijg573","Art interests","art_visits",8
"66","pgijg573","Art interests","art_knowledge",4
"67","mqu3535e","Art interests","art_interest",4
"68","mqu3535e","Art interests","art_visits",3
"69","mqu3535e","Art interests","art_knowledge",2
"70","trpxfsfj","Art interests","art_interest",4
"71","trpxfsfj","Art interests","art_visits",10
"72","trpxfsfj","Art interests","art_knowledge",3
"73","64qj2z1q","Art interests","art_interest",6
"74","64qj2z1q","Art interests","art_visits",12
"75","64qj2z1q","Art interests","art_knowledge",5
"76","u90pn3po","Art interests","art_interest",4
"77","u90pn3po","Art interests","art_knowledge",3
"78","vtnpc9v0","Art interests","art_interest",3
"79","vtnpc9v0","Art interests","art_visits",1
"80","vtnpc9v0","Art interests","art_knowledge",2
"81","eo7g3bb9","Art interests","art_interest",6
"82","eo7g3bb9","Art interests","art_visits",8
"83","eo7g3bb9","Art interests","art_knowledge",4
"84","eyf8awh6","Art interests","art_interest",5
"85","eyf8awh6","Art interests","art_visits",20
"86","eyf8awh6","Art interests","art_knowledge",5
"87","8a4rmozk","Art interests","art_interest",6
"88","8a4rmozk","Art interests","art_visits",24
"89","8a4rmozk","Art interests","art_knowledge",5
"90","ske1wdwv","Art interests","art_interest",5
"91","ske1wdwv","Art interests","art_visits",5
"92","ske1wdwv","Art interests","art_knowledge",4
"93","wkig7g26","Art interests","art_interest",4
"94","wkig7g26","Art interests","art_visits",5
"95","wkig7g26","Art interests","art_knowledge",3
"96","x886pg16","Art interests","art_interest",6
"97","x886pg16","Art interests","art_visits",20
"98","x886pg16","Art interests","art_knowledge",4
"99","4swlxwke","Art interests","art_interest",4
"100","4swlxwke","Art interests","art_visits",4
"101","4swlxwke","Art interests","art_knowledge",2
"102","piedsqfp","Art interests","art_interest",5
"103","piedsqfp","Art interests","art_knowledge",5
"104","8fjzf3vt","Art interests","art_interest",5
"105","8fjzf3vt","Art interests","art_visits",8
"106","8fjzf3vt","Art interests","art_knowledge",4
"107","20ncbce2","Art interests","art_interest",5
"108","20ncbce2","Art interests","art_visits",45
"109","20ncbce2","Art interests","art_knowledge",4
"110","eg36xi0r","Art interests","art_interest",5
"111","eg36xi0r","Art interests","art_visits",2
"112","eg36xi0r","Art interests","art_knowledge",3
"113","mx4as100","Art interests","art_interest",5
"114","mx4as100","Art interests","art_visits",3
"115","mx4as100","Art interests","art_knowledge",4
"116","5suttvcr","Art interests","art_interest",6
"117","5suttvcr","Art interests","art_visits",15
"118","5suttvcr","Art interests","art_knowledge",3
"119","bw2gsvf5","Art interests","art_interest",4
"120","bw2gsvf5","Art interests","art_visits",2
"121","bw2gsvf5","Art interests","art_knowledge",1
"122","tfbf68k4","Art interests","art_interest",5
"123","tfbf68k4","Art interests","art_visits",8
"124","tfbf68k4","Art interests","art_knowledge",4
"125","hs6ft2tt","Art interests","art_interest",4
"126","hs6ft2tt","Art interests","art_visits",1
"127","hs6ft2tt","Art interests","art_knowledge",3
"128","jwit68o8","Art interests","art_interest",4
"129","jwit68o8","Art interests","art_visits",5
"130","jwit68o8","Art interests","art_knowledge",3
"131","l51yoirf","Art interests","art_interest",6
"132","l51yoirf","Art interests","art_visits",3
"133","l51yoirf","Art interests","art_knowledge",6
"134","ll7yp6dw","Art interests","art_interest",4
"135","ll7yp6dw","Art interests","art_visits",3
"136","ll7yp6dw","Art interests","art_knowledge",3
"137","f5iukocs","Art interests","art_interest",5
"138","f5iukocs","Art interests","art_visits",10
"139","f5iukocs","Art interests","art_knowledge",4
"140","1tta9k0e","Art interests","art_interest",5
"141","1tta9k0e","Art interests","art_visits",2
"142","1tta9k0e","Art interests","art_knowledge",4
"143","10gyt4yw","Art interests","art_interest",6
"144","10gyt4yw","Art interests","art_visits",15
"145","10gyt4yw","Art interests","art_knowledge",5
"146","rl6qzzwk","Art interests","art_interest",4
"147","rl6qzzwk","Art interests","art_visits",10
"148","rl6qzzwk","Art interests","art_knowledge",2
"149","yuxt0mr0","Art interests","art_interest",4
"150","yuxt0mr0","Art interests","art_visits",4
"151","yuxt0mr0","Art interests","art_knowledge",2
"152","el4g7vqv","Art interests","art_interest",4
"153","el4g7vqv","Art interests","art_visits",5
"154","el4g7vqv","Art interests","art_knowledge",2
"155","0latiljl","Art interests","art_interest",4
"156","0latiljl","Art interests","art_visits",4
"157","0latiljl","Art interests","art_knowledge",2
"158","yrqlg96p","Art interests","art_interest",4
"159","yrqlg96p","Art interests","art_visits",2
"160","yrqlg96p","Art interests","art_knowledge",2
"161","49puxoj7","Art interests","art_interest",3
"162","49puxoj7","Art interests","art_visits",1
"163","49puxoj7","Art interests","art_knowledge",2
"164","jsk580jc","Art interests","art_interest",4
"165","jsk580jc","Art interests","art_visits",8
"166","jsk580jc","Art interests","art_knowledge",3
"167","2nov5ul3","Art interests","art_interest",5
"168","2nov5ul3","Art interests","art_visits",20
"169","2nov5ul3","Art interests","art_knowledge",2
"170","9gexj2th","Art interests","art_interest",3
"171","9gexj2th","Art interests","art_visits",3
"172","9gexj2th","Art interests","art_knowledge",2
"173","ypkywtgz","Art interests","art_interest",4
"174","ypkywtgz","Art interests","art_visits",5
"175","ypkywtgz","Art interests","art_knowledge",4
