Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1652780679456,17/05/2022 09:44:39,1652780679352,1,17/05/2022 10:44:39,86605,11,task-gb9b,,21931410,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Intro before training and the 1st visitor,8,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652780688470,17/05/2022 09:44:48,1652780688409,1,17/05/2022 10:44:48,86605,11,task-gb9b,,21931410,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Intro before training and the 1st visitor,8,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,9021,,,,,0,1,0,,,,,,Intro 2
3,1652780688518,17/05/2022 09:44:48,1652780688412,1,17/05/2022 10:44:48,86605,11,task-gb9b,,21931410,px3t3t75,6477248,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Intro before training and the 1st visitor,8,Spreadsheet1,,,END TASK,,,,,9060,,,,,0,1,0,,,,,,
1,1652786271565,17/05/2022 11:17:51,1652786271436,1,17/05/2022 12:17:51,86605,11,task-gb9b,,21932667,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Intro before training and the 1st visitor,8,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652786915762,17/05/2022 11:28:35,1652786915445,1,17/05/2022 12:28:35,86605,11,task-gb9b,,21932667,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Intro before training and the 1st visitor,8,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,211482,,,,,0,1,0,,,,,,Intro 2
3,1652786915936,17/05/2022 11:28:35,1652786915448,1,17/05/2022 12:28:35,86605,11,task-gb9b,,21932667,uqsflpct,6477653,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Intro before training and the 1st visitor,8,Spreadsheet1,,,END TASK,,,,,644012,,,,,0,1,0,,,,,,
1,1652799696247,17/05/2022 15:01:36,1652799696115,1,17/05/2022 16:01:36,86605,11,task-gb9b,,21938141,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Intro before training and the 1st visitor,8,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652800358987,17/05/2022 15:12:38,1652800358870,1,17/05/2022 16:12:38,86605,11,task-gb9b,,21938141,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Intro before training and the 1st visitor,8,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,293225.00000000006,,,,,0,1,0,,,,,,Intro 2
3,1652800359036,17/05/2022 15:12:39,1652800358874,1,17/05/2022 16:12:38,86605,11,task-gb9b,,21938141,bn6kbk9n,6479881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Intro before training and the 1st visitor,8,Spreadsheet1,,,END TASK,,,,,662759,,,,,0,1,0,,,,,,
1,1652804660293,17/05/2022 16:24:20,1652804660169,1,17/05/2022 17:24:20,86605,11,task-gb9b,,21945439,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Intro before training and the 1st visitor,8,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652804666229,17/05/2022 16:24:26,1652804666144,1,17/05/2022 17:24:26,86605,11,task-gb9b,,21945439,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Intro before training and the 1st visitor,8,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,5952,,,,,0,1,0,,,,,,Intro 2
3,1652804666292,17/05/2022 16:24:26,1652804666147,1,17/05/2022 17:24:26,86605,11,task-gb9b,,21945439,x3nqy34h,6480699,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Intro before training and the 1st visitor,8,Spreadsheet1,,,END TASK,,,,,5978,,,,,0,1,0,,,,,,
1,1652864681728,18/05/2022 09:04:41,1652864681612,1,18/05/2022 10:04:41,86605,11,task-gb9b,,21960285,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Intro before training and the 1st visitor,8,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652865488621,18/05/2022 09:18:08,1652865488505,1,18/05/2022 10:18:08,86605,11,task-gb9b,,21960285,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Intro before training and the 1st visitor,8,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,293807,,,,,0,1,0,,,,,,Intro 2
3,1652865488657,18/05/2022 09:18:08,1652865488508,1,18/05/2022 10:18:08,86605,11,task-gb9b,,21960285,h5s6ck19,6483952,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Intro before training and the 1st visitor,8,Spreadsheet1,,,END TASK,,,,,806896,,,,,0,1,0,,,,,,
1,1652870412842,18/05/2022 10:40:12,1652870412741,1,18/05/2022 11:40:12,86605,11,task-gb9b,,21963138,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Intro before training and the 1st visitor,8,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652871074395,18/05/2022 10:51:14,1652871074260,1,18/05/2022 11:51:14,86605,11,task-gb9b,,21963138,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Intro before training and the 1st visitor,8,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,192832,,,,,0,1,0,,,,,,Intro 2
3,1652871074456,18/05/2022 10:51:14,1652871074263,1,18/05/2022 11:51:14,86605,11,task-gb9b,,21963138,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Intro before training and the 1st visitor,8,Spreadsheet1,,,END TASK,,,,,661522,,,,,0,1,0,,,,,,
1,1652888509696,18/05/2022 15:41:49,1652888509607,1,18/05/2022 16:41:49,86605,11,task-gb9b,,21970259,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Intro before training and the 1st visitor,8,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1652888517242,18/05/2022 15:41:57,1652888517184,1,18/05/2022 16:41:57,86605,11,task-gb9b,,21970259,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Intro before training and the 1st visitor,8,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,7557,,,,,0,1,0,,,,,,Intro 2
3,1652888517315,18/05/2022 15:41:57,1652888517188,1,18/05/2022 16:41:57,86605,11,task-gb9b,,21970259,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,Intro before training and the 1st visitor,8,Spreadsheet1,,,END TASK,,,,,7582,,,,,0,1,0,,,,,,
END OF FILE
