,X1,group,first,second,conf1,conf2,conf3,third,id
1,1,1,motor,choice,A,M,L,control,ucjf5it7
2,1,1,motor,choice,A,M,L,control,u4ckj0xb
3,1,1,motor,choice,A,M,L,control,rcburgqm
4,1,1,motor,choice,A,M,L,control,p1el4un1
5,1,1,motor,choice,A,M,L,control,7ca8udou
6,1,1,motor,choice,A,M,L,control,fbdvz2jm
7,1,1,motor,choice,A,M,L,control,lcoa0ulz
8,2,2,motor,choice,L,A,M,control,nqcfkk0t
9,2,2,motor,choice,L,A,M,control,7end2q7p
10,2,2,motor,choice,L,A,M,control,mqu3535e
11,2,2,motor,choice,L,A,M,control,trpxfsfj
12,2,2,motor,choice,L,A,M,control,64qj2z1q
13,2,2,motor,choice,L,A,M,control,8fjzf3vt
14,2,2,motor,choice,L,A,M,control,20ncbce2
15,2,2,motor,choice,L,A,M,control,eg36xi0r
16,2,2,motor,choice,L,A,M,control,mx4as100
17,3,3,motor,choice,M,L,A,control,5suttvcr
18,3,3,motor,choice,M,L,A,control,tfbf68k4
19,3,3,motor,choice,M,L,A,control,hs6ft2tt
20,3,3,motor,choice,M,L,A,control,jwit68o8
21,3,3,motor,choice,M,L,A,control,l51yoirf
22,3,3,motor,choice,M,L,A,control,ll7yp6dw
23,3,3,motor,choice,M,L,A,control,1tta9k0e
24,3,3,motor,choice,M,L,A,control,10gyt4yw
25,4,4,choice,motor,A,M,L,control,5zqcqbja
26,4,4,choice,motor,A,M,L,control,rjld64yp
27,4,4,choice,motor,A,M,L,control,fnw3740u
28,4,4,choice,motor,A,M,L,control,awnaa38f
29,4,4,choice,motor,A,M,L,control,x9hun3az
30,4,4,choice,motor,A,M,L,control,fhonwjzj
31,5,5,choice,motor,L,A,M,control,ekh4e8la
32,5,5,choice,motor,L,A,M,control,vtnpc9v0
33,5,5,choice,motor,L,A,M,control,eo7g3bb9
34,5,5,choice,motor,L,A,M,control,eyf8awh6
35,5,5,choice,motor,L,A,M,control,8a4rmozk
36,5,5,choice,motor,L,A,M,control,ske1wdwv
37,5,5,choice,motor,L,A,M,control,wkig7g26
38,5,5,choice,motor,L,A,M,control,x886pg16
39,5,5,choice,motor,L,A,M,control,4swlxwke
40,6,6,choice,motor,M,L,A,control,yuxt0mr0
41,6,6,choice,motor,M,L,A,control,el4g7vqv
42,6,6,choice,motor,M,L,A,control,0latiljl
43,6,6,choice,motor,M,L,A,control,49puxoj7
44,6,6,choice,motor,M,L,A,control,jsk580jc
45,6,6,choice,motor,M,L,A,control,2nov5ul3
46,6,6,choice,motor,M,L,A,control,9gexj2th