"","id","Type_of_question","type","n","sum_n","perc"
"1","0latiljl","competence","control",1,4,25
"2","0latiljl","competence","motor",3,4,75
"3","0latiljl","warmth","choice",1,4,25
"4","0latiljl","warmth","control",2,4,50
"5","0latiljl","warmth","motor",1,4,25
"6","10gyt4yw","competence","control",4,4,100
"7","10gyt4yw","warmth","control",4,4,100
"8","1tta9k0e","competence","choice",4,4,100
"9","1tta9k0e","warmth","choice",1,4,25
"10","1tta9k0e","warmth","control",1,4,25
"11","1tta9k0e","warmth","motor",2,4,50
"12","20ncbce2","competence","choice",1,4,25
"13","20ncbce2","competence","motor",3,4,75
"14","20ncbce2","warmth","choice",1,4,25
"15","20ncbce2","warmth","control",1,4,25
"16","20ncbce2","warmth","motor",2,4,50
"17","2nov5ul3","competence","choice",1,4,25
"18","2nov5ul3","competence","motor",3,4,75
"19","2nov5ul3","warmth","choice",1,4,25
"20","2nov5ul3","warmth","control",3,4,75
"21","4swlxwke","competence","choice",2,4,50
"22","4swlxwke","competence","motor",2,4,50
"23","4swlxwke","warmth","choice",2,4,50
"24","4swlxwke","warmth","control",1,4,25
"25","4swlxwke","warmth","motor",1,4,25
"26","5suttvcr","competence","choice",1,4,25
"27","5suttvcr","competence","control",1,4,25
"28","5suttvcr","competence","motor",2,4,50
"29","5suttvcr","warmth","choice",3,4,75
"30","5suttvcr","warmth","control",1,4,25
"31","5zqcqbja","competence","choice",3,4,75
"32","5zqcqbja","competence","control",1,4,25
"33","5zqcqbja","warmth","choice",1,4,25
"34","5zqcqbja","warmth","control",3,4,75
"35","64qj2z1q","competence","choice",1,4,25
"36","64qj2z1q","competence","motor",3,4,75
"37","64qj2z1q","warmth","choice",1,4,25
"38","64qj2z1q","warmth","control",2,4,50
"39","64qj2z1q","warmth","motor",1,4,25
"40","7ca8udou","competence","control",3,4,75
"41","7ca8udou","competence","motor",1,4,25
"42","7ca8udou","warmth","choice",1,4,25
"43","7ca8udou","warmth","motor",3,4,75
"44","7end2q7p","competence","choice",1,4,25
"45","7end2q7p","competence","motor",3,4,75
"46","7end2q7p","warmth","choice",3,4,75
"47","7end2q7p","warmth","motor",1,4,25
"48","8a4rmozk","competence","choice",1,4,25
"49","8a4rmozk","competence","control",1,4,25
"50","8a4rmozk","competence","motor",2,4,50
"51","8a4rmozk","warmth","choice",1,4,25
"52","8a4rmozk","warmth","control",2,4,50
"53","8a4rmozk","warmth","motor",1,4,25
"54","8fjzf3vt","competence","choice",2,4,50
"55","8fjzf3vt","competence","motor",2,4,50
"56","8fjzf3vt","warmth","choice",2,4,50
"57","8fjzf3vt","warmth","control",1,4,25
"58","8fjzf3vt","warmth","motor",1,4,25
"59","9gexj2th","competence","control",3,4,75
"60","9gexj2th","competence","motor",1,4,25
"61","9gexj2th","warmth","choice",1,4,25
"62","9gexj2th","warmth","control",2,4,50
"63","9gexj2th","warmth","motor",1,4,25
"64","awnaa38f","competence","choice",1,4,25
"65","awnaa38f","competence","control",3,4,75
"66","awnaa38f","warmth","choice",2,4,50
"67","awnaa38f","warmth","control",2,4,50
"68","eg36xi0r","competence","choice",3,4,75
"69","eg36xi0r","competence","motor",1,4,25
"70","eg36xi0r","warmth","choice",4,4,100
"71","ekh4e8la","competence","choice",1,4,25
"72","ekh4e8la","competence","control",1,4,25
"73","ekh4e8la","competence","motor",2,4,50
"74","ekh4e8la","warmth","choice",2,4,50
"75","ekh4e8la","warmth","control",1,4,25
"76","ekh4e8la","warmth","motor",1,4,25
"77","el4g7vqv","competence","choice",3,4,75
"78","el4g7vqv","competence","motor",1,4,25
"79","el4g7vqv","warmth","choice",4,4,100
"80","eo7g3bb9","competence","choice",1,4,25
"81","eo7g3bb9","competence","motor",3,4,75
"82","eo7g3bb9","warmth","choice",3,4,75
"83","eo7g3bb9","warmth","control",1,4,25
"84","eyf8awh6","competence","choice",1,4,25
"85","eyf8awh6","competence","motor",3,4,75
"86","eyf8awh6","warmth","choice",3,4,75
"87","eyf8awh6","warmth","control",1,4,25
"88","fbdvz2jm","competence","control",2,4,50
"89","fbdvz2jm","competence","motor",2,4,50
"90","fbdvz2jm","warmth","choice",1,4,25
"91","fbdvz2jm","warmth","motor",3,4,75
"92","fhonwjzj","competence","choice",2,4,50
"93","fhonwjzj","competence","control",2,4,50
"94","fhonwjzj","warmth","motor",4,4,100
"95","fnw3740u","competence","choice",1,4,25
"96","fnw3740u","competence","control",2,4,50
"97","fnw3740u","competence","motor",1,4,25
"98","fnw3740u","warmth","control",4,4,100
"99","hs6ft2tt","competence","choice",4,4,100
"100","hs6ft2tt","warmth","choice",4,4,100
"101","jsk580jc","competence","control",2,4,50
"102","jsk580jc","competence","motor",2,4,50
"103","jsk580jc","warmth","choice",3,4,75
"104","jsk580jc","warmth","control",1,4,25
"105","jwit68o8","competence","choice",1,4,25
"106","jwit68o8","competence","motor",3,4,75
"107","jwit68o8","warmth","choice",2,4,50
"108","jwit68o8","warmth","control",2,4,50
"109","l51yoirf","competence","choice",2,4,50
"110","l51yoirf","competence","motor",2,4,50
"111","l51yoirf","warmth","control",3,4,75
"112","l51yoirf","warmth","motor",1,4,25
"113","lcoa0ulz","competence","control",2,4,50
"114","lcoa0ulz","competence","motor",2,4,50
"115","lcoa0ulz","warmth","choice",4,4,100
"116","ll7yp6dw","competence","choice",3,4,75
"117","ll7yp6dw","competence","control",1,4,25
"118","ll7yp6dw","warmth","choice",4,4,100
"119","mqu3535e","competence","choice",1,4,25
"120","mqu3535e","competence","motor",3,4,75
"121","mqu3535e","warmth","choice",4,4,100
"122","mx4as100","competence","choice",3,4,75
"123","mx4as100","competence","motor",1,4,25
"124","mx4as100","warmth","choice",3,4,75
"125","mx4as100","warmth","control",1,4,25
"126","nqcfkk0t","competence","motor",4,4,100
"127","nqcfkk0t","warmth","choice",3,4,75
"128","nqcfkk0t","warmth","control",1,4,25
"129","p1el4un1","competence","control",2,4,50
"130","p1el4un1","competence","motor",2,4,50
"131","p1el4un1","warmth","motor",4,4,100
"132","rcburgqm","competence","choice",1,4,25
"133","rcburgqm","competence","control",2,4,50
"134","rcburgqm","competence","motor",1,4,25
"135","rcburgqm","warmth","choice",1,4,25
"136","rcburgqm","warmth","control",1,4,25
"137","rcburgqm","warmth","motor",2,4,50
"138","rjld64yp","competence","control",2,4,50
"139","rjld64yp","competence","motor",2,4,50
"140","rjld64yp","warmth","choice",3,4,75
"141","rjld64yp","warmth","motor",1,4,25
"142","ske1wdwv","competence","choice",4,4,100
"143","ske1wdwv","warmth","choice",3,4,75
"144","ske1wdwv","warmth","motor",1,4,25
"145","tfbf68k4","competence","choice",2,4,50
"146","tfbf68k4","competence","control",1,4,25
"147","tfbf68k4","competence","motor",1,4,25
"148","tfbf68k4","warmth","choice",1,4,25
"149","tfbf68k4","warmth","control",2,4,50
"150","tfbf68k4","warmth","motor",1,4,25
"151","trpxfsfj","competence","control",3,4,75
"152","trpxfsfj","competence","motor",1,4,25
"153","trpxfsfj","warmth","choice",1,4,25
"154","trpxfsfj","warmth","control",1,4,25
"155","trpxfsfj","warmth","motor",2,4,50
"156","u4ckj0xb","competence","control",2,4,50
"157","u4ckj0xb","competence","motor",2,4,50
"158","u4ckj0xb","warmth","choice",3,4,75
"159","u4ckj0xb","warmth","motor",1,4,25
"160","ucjf5it7","competence","motor",8,8,100
"161","ucjf5it7","warmth","choice",2,8,25
"162","ucjf5it7","warmth","motor",6,8,75
"163","vtnpc9v0","competence","choice",1,4,25
"164","vtnpc9v0","competence","control",1,4,25
"165","vtnpc9v0","competence","motor",2,4,50
"166","vtnpc9v0","warmth","control",3,4,75
"167","vtnpc9v0","warmth","motor",1,4,25
"168","wkig7g26","competence","choice",3,4,75
"169","wkig7g26","competence","control",1,4,25
"170","wkig7g26","warmth","choice",3,4,75
"171","wkig7g26","warmth","control",1,4,25
"172","x886pg16","competence","choice",3,4,75
"173","x886pg16","competence","control",1,4,25
"174","x886pg16","warmth","control",4,4,100
"175","x9hun3az","competence","choice",3,4,75
"176","x9hun3az","competence","control",1,4,25
"177","x9hun3az","warmth","choice",2,4,50
"178","x9hun3az","warmth","control",2,4,50
"179","yuxt0mr0","competence","choice",1,4,25
"180","yuxt0mr0","competence","motor",3,4,75
"181","yuxt0mr0","warmth","choice",2,4,50
"182","yuxt0mr0","warmth","control",2,4,50
