"","id","block","Type_of_question","mean_r","confed_name","mean_r_base","change_in_rating","type"
"1","0latiljl","first","competence",4.66666666666667,"M",4,0.666666666666667,"choice"
"2","0latiljl","first","warmth",5,"M",4,1,"choice"
"3","0latiljl","second","competence",5,"L",5,0,"motor"
"4","0latiljl","second","warmth",4.33333333333333,"L",4,0.333333333333333,"motor"
"5","0latiljl","third","competence",5,"A",5,0,"control"
"6","0latiljl","third","warmth",4.66666666666667,"A",4.33333333333333,0.333333333333334,"control"
"7","10gyt4yw","first","competence",4.33333333333333,"M",4.33333333333333,0,"motor"
"8","10gyt4yw","first","warmth",3.66666666666667,"M",3.66666666666667,0,"motor"
"9","10gyt4yw","second","competence",4.66666666666667,"L",4.66666666666667,0,"choice"
"10","10gyt4yw","second","warmth",4,"L",4,0,"choice"
"11","10gyt4yw","third","competence",5,"A",3.66666666666667,1.33333333333333,"control"
"12","10gyt4yw","third","warmth",4.33333333333333,"A",3,1.33333333333333,"control"
"13","1tta9k0e","first","competence",4,"M",4,0,"motor"
"14","1tta9k0e","first","warmth",3,"M",2.66666666666667,0.333333333333333,"motor"
"15","1tta9k0e","second","competence",4.33333333333333,"L",3.33333333333333,1,"choice"
"16","1tta9k0e","second","warmth",2.33333333333333,"L",2,0.333333333333333,"choice"
"17","1tta9k0e","third","competence",3.66666666666667,"A",3.66666666666667,0,"control"
"18","1tta9k0e","third","warmth",3,"A",1.66666666666667,1.33333333333333,"control"
"19","20ncbce2","first","competence",4.66666666666667,"L",4.66666666666667,0,"motor"
"20","20ncbce2","first","warmth",4.33333333333333,"L",3.33333333333333,1,"motor"
"21","20ncbce2","second","competence",4.33333333333333,"A",3.33333333333333,1,"choice"
"22","20ncbce2","second","warmth",5,"A",2.66666666666667,2.33333333333333,"choice"
"23","20ncbce2","third","competence",4.33333333333333,"M",4.66666666666667,-0.333333333333334,"control"
"24","20ncbce2","third","warmth",4,"M",3.66666666666667,0.333333333333333,"control"
"25","2nov5ul3","first","competence",2.33333333333333,"M",3.66666666666667,-1.33333333333333,"choice"
"26","2nov5ul3","first","warmth",5,"M",4.33333333333333,0.666666666666667,"choice"
"27","2nov5ul3","second","competence",4,"L",4.33333333333333,-0.333333333333333,"motor"
"28","2nov5ul3","second","warmth",3.33333333333333,"L",4,-0.666666666666667,"motor"
"29","2nov5ul3","third","competence",3,"A",3.33333333333333,-0.333333333333333,"control"
"30","2nov5ul3","third","warmth",4.33333333333333,"A",3.33333333333333,1,"control"
"31","49puxoj7","first","competence",3.66666666666667,"M",3.66666666666667,0,"choice"
"32","49puxoj7","first","warmth",3.66666666666667,"M",3,0.666666666666667,"choice"
"33","49puxoj7","second","competence",3.66666666666667,"L",3.66666666666667,0,"motor"
"34","49puxoj7","second","warmth",2.66666666666667,"L",2.33333333333333,0.333333333333333,"motor"
"35","49puxoj7","third","competence",3,"A",3.66666666666667,-0.666666666666667,"control"
"36","49puxoj7","third","warmth",3.66666666666667,"A",2.33333333333333,1.33333333333333,"control"
"37","4swlxwke","first","competence",4.33333333333333,"L",4.33333333333333,0,"choice"
"38","4swlxwke","first","warmth",5,"L",4.33333333333333,0.666666666666667,"choice"
"39","4swlxwke","second","competence",3.33333333333333,"A",3.66666666666667,-0.333333333333333,"motor"
"40","4swlxwke","second","warmth",3.66666666666667,"A",3.66666666666667,0,"motor"
"41","4swlxwke","third","competence",3.66666666666667,"M",3.66666666666667,0,"control"
"42","4swlxwke","third","warmth",5,"M",4,1,"control"
"43","5suttvcr","first","competence",5,"M",5.33333333333333,-0.333333333333333,"motor"
"44","5suttvcr","first","warmth",3.33333333333333,"M",4.33333333333333,-1,"motor"
"45","5suttvcr","second","competence",5.66666666666667,"L",5.66666666666667,0,"choice"
"46","5suttvcr","second","warmth",5.33333333333333,"L",4.33333333333333,1,"choice"
"47","5suttvcr","third","competence",5.66666666666667,"A",4.66666666666667,1,"control"
"48","5suttvcr","third","warmth",4.33333333333333,"A",4.66666666666667,-0.333333333333334,"control"
"49","5zqcqbja","first","competence",3.66666666666667,"A",3.33333333333333,0.333333333333333,"choice"
"50","5zqcqbja","first","warmth",3.66666666666667,"A",4,-0.333333333333333,"choice"
"51","5zqcqbja","second","competence",3.66666666666667,"M",3.66666666666667,0,"motor"
"52","5zqcqbja","second","warmth",3.33333333333333,"M",3.66666666666667,-0.333333333333333,"motor"
"53","5zqcqbja","third","competence",3.66666666666667,"L",3.33333333333333,0.333333333333333,"control"
"54","5zqcqbja","third","warmth",3.66666666666667,"L",4,-0.333333333333333,"control"
"55","64qj2z1q","first","competence",4.66666666666667,"L",5,-0.333333333333333,"motor"
"56","64qj2z1q","first","warmth",3.33333333333333,"L",1.66666666666667,1.66666666666667,"motor"
"57","64qj2z1q","second","competence",5,"A",4.33333333333333,0.666666666666667,"choice"
"58","64qj2z1q","second","warmth",5,"A",4,1,"choice"
"59","64qj2z1q","third","competence",4.33333333333333,"M",5,-0.666666666666667,"control"
"60","64qj2z1q","third","warmth",4.33333333333333,"M",4,0.333333333333333,"control"
"61","7ca8udou","first","competence",4,"A",4,0,"motor"
"62","7ca8udou","first","warmth",3.66666666666667,"A",3.33333333333333,0.333333333333333,"motor"
"63","7ca8udou","second","competence",4,"M",4,0,"choice"
"64","7ca8udou","second","warmth",3.33333333333333,"M",3.66666666666667,-0.333333333333333,"choice"
"65","7ca8udou","third","competence",4.33333333333333,"L",4,0.333333333333333,"control"
"66","7ca8udou","third","warmth",3,"L",3,0,"control"
"67","7end2q7p","first","competence",4.66666666666667,"L",5,-0.333333333333333,"motor"
"68","7end2q7p","first","warmth",4.33333333333333,"L",3.66666666666667,0.666666666666667,"motor"
"69","7end2q7p","second","competence",4.66666666666667,"A",4,0.666666666666667,"choice"
"70","7end2q7p","second","warmth",4.33333333333333,"A",3.33333333333333,1,"choice"
"71","7end2q7p","third","competence",3.33333333333333,"M",3.66666666666667,-0.333333333333333,"control"
"72","7end2q7p","third","warmth",4,"M",3.33333333333333,0.666666666666667,"control"
"73","8a4rmozk","first","competence",5,"L",4.66666666666667,0.333333333333333,"choice"
"74","8a4rmozk","first","warmth",4.66666666666667,"L",4,0.666666666666667,"choice"
"75","8a4rmozk","second","competence",4.66666666666667,"A",4.33333333333333,0.333333333333334,"motor"
"76","8a4rmozk","second","warmth",4,"A",3.33333333333333,0.666666666666667,"motor"
"77","8a4rmozk","third","competence",5,"M",4.66666666666667,0.333333333333333,"control"
"78","8a4rmozk","third","warmth",4.66666666666667,"M",4,0.666666666666667,"control"
"79","8fjzf3vt","first","competence",3.66666666666667,"L",3.66666666666667,0,"motor"
"80","8fjzf3vt","first","warmth",3.33333333333333,"L",2.33333333333333,1,"motor"
"81","8fjzf3vt","second","competence",3.33333333333333,"A",3.33333333333333,0,"choice"
"82","8fjzf3vt","second","warmth",5,"A",3.66666666666667,1.33333333333333,"choice"
"83","8fjzf3vt","third","competence",2,"M",4.33333333333333,-2.33333333333333,"control"
"84","8fjzf3vt","third","warmth",4,"M",3.66666666666667,0.333333333333333,"control"
"85","9gexj2th","first","competence",5.66666666666667,"M",5,0.666666666666667,"choice"
"86","9gexj2th","first","warmth",5.33333333333333,"M",5.33333333333333,0,"choice"
"87","9gexj2th","second","competence",4.33333333333333,"L",5.33333333333333,-1,"motor"
"88","9gexj2th","second","warmth",3.33333333333333,"L",4,-0.666666666666667,"motor"
"89","9gexj2th","third","competence",5.66666666666667,"A",5.33333333333333,0.333333333333334,"control"
"90","9gexj2th","third","warmth",5,"A",4,1,"control"
"91","awnaa38f","first","competence",4.33333333333333,"A",3.66666666666667,0.666666666666667,"choice"
"92","awnaa38f","first","warmth",5,"A",4,1,"choice"
"93","awnaa38f","second","competence",3.33333333333333,"M",4.33333333333333,-1,"motor"
"94","awnaa38f","second","warmth",3.33333333333333,"M",3,0.333333333333333,"motor"
"95","awnaa38f","third","competence",4.66666666666667,"L",5,-0.333333333333333,"control"
"96","awnaa38f","third","warmth",3.66666666666667,"L",3.66666666666667,0,"control"
"97","eg36xi0r","first","competence",4,"L",4,0,"motor"
"98","eg36xi0r","first","warmth",3,"L",2.66666666666667,0.333333333333333,"motor"
"99","eg36xi0r","second","competence",5,"A",4,1,"choice"
"100","eg36xi0r","second","warmth",4.33333333333333,"A",4,0.333333333333333,"choice"
"101","eg36xi0r","third","competence",5,"M",4,1,"control"
"102","eg36xi0r","third","warmth",5,"M",4,1,"control"
"103","ekh4e8la","first","competence",4,"L",5.33333333333333,-1.33333333333333,"choice"
"104","ekh4e8la","first","warmth",4.66666666666667,"L",4,0.666666666666667,"choice"
"105","ekh4e8la","second","competence",3,"A",4.66666666666667,-1.66666666666667,"motor"
"106","ekh4e8la","second","warmth",3.33333333333333,"A",4.66666666666667,-1.33333333333333,"motor"
"107","ekh4e8la","third","competence",3.33333333333333,"M",4,-0.666666666666667,"control"
"108","ekh4e8la","third","warmth",4.33333333333333,"M",3.66666666666667,0.666666666666667,"control"
"109","el4g7vqv","first","competence",4.33333333333333,"M",4.66666666666667,-0.333333333333334,"choice"
"110","el4g7vqv","first","warmth",5,"M",4,1,"choice"
"111","el4g7vqv","second","competence",4.66666666666667,"L",4.66666666666667,0,"motor"
"112","el4g7vqv","second","warmth",2.66666666666667,"L",4.33333333333333,-1.66666666666667,"motor"
"113","el4g7vqv","third","competence",4,"A",5,-1,"control"
"114","el4g7vqv","third","warmth",3,"A",3.33333333333333,-0.333333333333333,"control"
"115","eo7g3bb9","first","competence",5.33333333333333,"L",5.33333333333333,0,"choice"
"116","eo7g3bb9","first","warmth",5,"L",4.66666666666667,0.333333333333333,"choice"
"117","eo7g3bb9","second","competence",5,"A",5,0,"motor"
"118","eo7g3bb9","second","warmth",3,"A",3.33333333333333,-0.333333333333333,"motor"
"119","eo7g3bb9","third","competence",3.66666666666667,"M",4.66666666666667,-1,"control"
"120","eo7g3bb9","third","warmth",3.33333333333333,"M",4,-0.666666666666667,"control"
"121","eyf8awh6","first","competence",5.66666666666667,"L",5.33333333333333,0.333333333333334,"choice"
"122","eyf8awh6","first","warmth",5.33333333333333,"L",3.66666666666667,1.66666666666667,"choice"
"123","eyf8awh6","second","competence",4.33333333333333,"A",5,-0.666666666666667,"motor"
"124","eyf8awh6","second","warmth",3.33333333333333,"A",5,-1.66666666666667,"motor"
"125","eyf8awh6","third","competence",5,"M",5.33333333333333,-0.333333333333333,"control"
"126","eyf8awh6","third","warmth",5,"M",4,1,"control"
"127","fbdvz2jm","first","competence",5.33333333333333,"A",5,0.333333333333333,"motor"
"128","fbdvz2jm","first","warmth",5,"A",5,0,"motor"
"129","fbdvz2jm","second","competence",5,"M",5,0,"choice"
"130","fbdvz2jm","second","warmth",4,"M",4.66666666666667,-0.666666666666667,"choice"
"131","fbdvz2jm","third","competence",5.33333333333333,"L",5.33333333333333,0,"control"
"132","fbdvz2jm","third","warmth",3.66666666666667,"L",4.33333333333333,-0.666666666666667,"control"
"133","fhonwjzj","first","competence",3.33333333333333,"A",3.66666666666667,-0.333333333333333,"choice"
"134","fhonwjzj","first","warmth",2.66666666666667,"A",3,-0.333333333333333,"choice"
"135","fhonwjzj","second","competence",3.33333333333333,"M",3,0.333333333333333,"motor"
"136","fhonwjzj","second","warmth",4.33333333333333,"M",3,1.33333333333333,"motor"
"137","fhonwjzj","third","competence",3.66666666666667,"L",4.33333333333333,-0.666666666666667,"control"
"138","fhonwjzj","third","warmth",2.66666666666667,"L",2.33333333333333,0.333333333333333,"control"
"139","fnw3740u","first","competence",5.33333333333333,"A",5.33333333333333,0,"choice"
"140","fnw3740u","first","warmth",4.66666666666667,"A",4,0.666666666666667,"choice"
"141","fnw3740u","second","competence",5.66666666666667,"M",5.33333333333333,0.333333333333334,"motor"
"142","fnw3740u","second","warmth",2.66666666666667,"M",4,-1.33333333333333,"motor"
"143","fnw3740u","third","competence",5.66666666666667,"L",6,-0.333333333333333,"control"
"144","fnw3740u","third","warmth",4.66666666666667,"L",3.66666666666667,1,"control"
"145","hs6ft2tt","first","competence",5.33333333333333,"M",4,1.33333333333333,"motor"
"146","hs6ft2tt","first","warmth",3.33333333333333,"M",2,1.33333333333333,"motor"
"147","hs6ft2tt","second","competence",5.66666666666667,"L",4.33333333333333,1.33333333333333,"choice"
"148","hs6ft2tt","second","warmth",4.33333333333333,"L",2.66666666666667,1.66666666666667,"choice"
"149","hs6ft2tt","third","competence",5.33333333333333,"A",5.33333333333333,0,"control"
"150","hs6ft2tt","third","warmth",5.33333333333333,"A",4,1.33333333333333,"control"
"151","jsk580jc","first","competence",3.33333333333333,"M",4,-0.666666666666667,"choice"
"152","jsk580jc","first","warmth",4.66666666666667,"M",4,0.666666666666667,"choice"
"153","jsk580jc","second","competence",3.33333333333333,"L",3.66666666666667,-0.333333333333333,"motor"
"154","jsk580jc","second","warmth",4,"L",4.33333333333333,-0.333333333333333,"motor"
"155","jsk580jc","third","competence",2.33333333333333,"A",3.33333333333333,-1,"control"
"156","jsk580jc","third","warmth",3.66666666666667,"A",3,0.666666666666667,"control"
"157","jwit68o8","first","competence",4.33333333333333,"M",4.33333333333333,0,"motor"
"158","jwit68o8","first","warmth",3,"M",3.33333333333333,-0.333333333333333,"motor"
"159","jwit68o8","second","competence",5,"L",5.33333333333333,-0.333333333333333,"choice"
"160","jwit68o8","second","warmth",4,"L",4.33333333333333,-0.333333333333333,"choice"
"161","jwit68o8","third","competence",4.66666666666667,"A",5,-0.333333333333333,"control"
"162","jwit68o8","third","warmth",4.33333333333333,"A",4,0.333333333333333,"control"
"163","l51yoirf","first","competence",6,"M",5.33333333333333,0.666666666666667,"motor"
"164","l51yoirf","first","warmth",5,"M",4.66666666666667,0.333333333333333,"motor"
"165","l51yoirf","second","competence",6,"L",5.33333333333333,0.666666666666667,"choice"
"166","l51yoirf","second","warmth",5,"L",4.66666666666667,0.333333333333333,"choice"
"167","l51yoirf","third","competence",6,"A",5.33333333333333,0.666666666666667,"control"
"168","l51yoirf","third","warmth",5.33333333333333,"A",4.66666666666667,0.666666666666666,"control"
"169","lcoa0ulz","first","competence",3.66666666666667,"A",5,-1.33333333333333,"motor"
"170","lcoa0ulz","first","warmth",2.33333333333333,"A",3.66666666666667,-1.33333333333333,"motor"
"171","lcoa0ulz","second","competence",3.66666666666667,"M",3.66666666666667,0,"choice"
"172","lcoa0ulz","second","warmth",5,"M",3,2,"choice"
"173","lcoa0ulz","third","competence",3.66666666666667,"L",4.66666666666667,-1,"control"
"174","lcoa0ulz","third","warmth",2,"L",2.66666666666667,-0.666666666666667,"control"
"175","ll7yp6dw","first","competence",4.33333333333333,"M",4,0.333333333333333,"motor"
"176","ll7yp6dw","first","warmth",2.66666666666667,"M",3.33333333333333,-0.666666666666667,"motor"
"177","ll7yp6dw","second","competence",5.66666666666667,"L",4,1.66666666666667,"choice"
"178","ll7yp6dw","second","warmth",4,"L",3,1,"choice"
"179","ll7yp6dw","third","competence",4.66666666666667,"A",3.66666666666667,1,"control"
"180","ll7yp6dw","third","warmth",2.66666666666667,"A",3.33333333333333,-0.666666666666667,"control"
"181","mqu3535e","first","competence",3.33333333333333,"L",4.66666666666667,-1.33333333333333,"motor"
"182","mqu3535e","first","warmth",2.66666666666667,"L",3.33333333333333,-0.666666666666667,"motor"
"183","mqu3535e","second","competence",2.66666666666667,"A",4,-1.33333333333333,"choice"
"184","mqu3535e","second","warmth",4.66666666666667,"A",4.33333333333333,0.333333333333334,"choice"
"185","mqu3535e","third","competence",2.33333333333333,"M",4.33333333333333,-2,"control"
"186","mqu3535e","third","warmth",2.33333333333333,"M",3.33333333333333,-1,"control"
"187","mx4as100","first","competence",3.33333333333333,"L",3.33333333333333,0,"motor"
"188","mx4as100","first","warmth",4,"L",4,0,"motor"
"189","mx4as100","second","competence",4,"A",3.33333333333333,0.666666666666667,"choice"
"190","mx4as100","second","warmth",4.66666666666667,"A",3.66666666666667,1,"choice"
"191","mx4as100","third","competence",3.66666666666667,"M",4.66666666666667,-1,"control"
"192","mx4as100","third","warmth",4.66666666666667,"M",4,0.666666666666667,"control"
"193","nqcfkk0t","first","competence",5,"L",5.33333333333333,-0.333333333333333,"motor"
"194","nqcfkk0t","first","warmth",4,"L",5,-1,"motor"
"195","nqcfkk0t","second","competence",4.66666666666667,"A",4.66666666666667,0,"choice"
"196","nqcfkk0t","second","warmth",5,"A",5.33333333333333,-0.333333333333333,"choice"
"197","nqcfkk0t","third","competence",4.66666666666667,"M",4.66666666666667,0,"control"
"198","nqcfkk0t","third","warmth",4.66666666666667,"M",4.33333333333333,0.333333333333334,"control"
"199","p1el4un1","first","competence",3.66666666666667,"A",4.66666666666667,-1,"motor"
"200","p1el4un1","first","warmth",3,"A",3.66666666666667,-0.666666666666667,"motor"
"201","p1el4un1","second","competence",2,"M",4,-2,"choice"
"202","p1el4un1","second","warmth",1.66666666666667,"M",3.33333333333333,-1.66666666666667,"choice"
"203","p1el4un1","third","competence",2.66666666666667,"L",5,-2.33333333333333,"control"
"204","p1el4un1","third","warmth",3,"L",3,0,"control"
"205","rcburgqm","first","competence",4.66666666666667,"A",4.33333333333333,0.333333333333334,"motor"
"206","rcburgqm","first","warmth",4.33333333333333,"A",4.66666666666667,-0.333333333333334,"motor"
"207","rcburgqm","second","competence",4.66666666666667,"M",4.33333333333333,0.333333333333334,"choice"
"208","rcburgqm","second","warmth",4.33333333333333,"M",4.33333333333333,0,"choice"
"209","rcburgqm","third","competence",4.66666666666667,"L",4.33333333333333,0.333333333333334,"control"
"210","rcburgqm","third","warmth",4.33333333333333,"L",4.33333333333333,0,"control"
"211","rjld64yp","first","competence",5,"A",4.33333333333333,0.666666666666667,"choice"
"212","rjld64yp","first","warmth",4.66666666666667,"A",4.66666666666667,0,"choice"
"213","rjld64yp","second","competence",4,"M",3.66666666666667,0.333333333333333,"motor"
"214","rjld64yp","second","warmth",3.66666666666667,"M",4,-0.333333333333333,"motor"
"215","rjld64yp","third","competence",4.66666666666667,"L",4.33333333333333,0.333333333333334,"control"
"216","rjld64yp","third","warmth",3.66666666666667,"L",5,-1.33333333333333,"control"
"217","ske1wdwv","first","competence",5,"L",5,0,"choice"
"218","ske1wdwv","first","warmth",5,"L",4,1,"choice"
"219","ske1wdwv","second","competence",5,"A",5,0,"motor"
"220","ske1wdwv","second","warmth",5.33333333333333,"A",4.66666666666667,0.666666666666666,"motor"
"221","ske1wdwv","third","competence",5,"M",5,0,"control"
"222","ske1wdwv","third","warmth",4.66666666666667,"M",5.33333333333333,-0.666666666666666,"control"
"223","tfbf68k4","first","competence",5,"M",5,0,"motor"
"224","tfbf68k4","first","warmth",5.33333333333333,"M",5,0.333333333333333,"motor"
"225","tfbf68k4","second","competence",5,"L",5,0,"choice"
"226","tfbf68k4","second","warmth",5.66666666666667,"L",5,0.666666666666667,"choice"
"227","tfbf68k4","third","competence",5.33333333333333,"A",5.33333333333333,0,"control"
"228","tfbf68k4","third","warmth",5.66666666666667,"A",5,0.666666666666667,"control"
"229","trpxfsfj","first","competence",5.33333333333333,"L",5.66666666666667,-0.333333333333334,"motor"
"230","trpxfsfj","first","warmth",5,"L",5,0,"motor"
"231","trpxfsfj","second","competence",5.33333333333333,"A",5.33333333333333,0,"choice"
"232","trpxfsfj","second","warmth",5,"A",5,0,"choice"
"233","trpxfsfj","third","competence",5.66666666666667,"M",5.33333333333333,0.333333333333334,"control"
"234","trpxfsfj","third","warmth",4.66666666666667,"M",4.66666666666667,0,"control"
"235","u4ckj0xb","first","competence",4.66666666666667,"A",5,-0.333333333333333,"motor"
"236","u4ckj0xb","first","warmth",4,"A",4,0,"motor"
"237","u4ckj0xb","second","competence",5,"M",5,0,"choice"
"238","u4ckj0xb","second","warmth",4.66666666666667,"M",4.33333333333333,0.333333333333334,"choice"
"239","u4ckj0xb","third","competence",4.66666666666667,"L",5.66666666666667,-1,"control"
"240","u4ckj0xb","third","warmth",4.66666666666667,"L",3.66666666666667,1,"control"
"241","ucjf5it7","first","competence",4.33333333333333,"A",4.66666666666667,-0.333333333333334,"motor"
"242","ucjf5it7","first","warmth",4.33333333333333,"A",4,0.333333333333333,"motor"
"243","ucjf5it7","second","competence",4.66666666666667,"M",4.66666666666667,0,"choice"
"244","ucjf5it7","second","warmth",5,"M",4,1,"choice"
"245","ucjf5it7","third","competence",4,"L",5,-1,"control"
"246","ucjf5it7","third","warmth",2.66666666666667,"L",3.66666666666667,-1,"control"
"247","vtnpc9v0","first","competence",4,"L",4.33333333333333,-0.333333333333333,"choice"
"248","vtnpc9v0","first","warmth",2,"L",2,0,"choice"
"249","vtnpc9v0","second","competence",3,"A",2.66666666666667,0.333333333333333,"motor"
"250","vtnpc9v0","second","warmth",3.66666666666667,"A",3.66666666666667,0,"motor"
"251","vtnpc9v0","third","competence",2,"M",2.66666666666667,-0.666666666666667,"control"
"252","vtnpc9v0","third","warmth",4,"M",4,0,"control"
"253","wkig7g26","first","competence",3.66666666666667,"L",3.66666666666667,0,"choice"
"254","wkig7g26","first","warmth",4,"L",3.33333333333333,0.666666666666667,"choice"
"255","wkig7g26","second","competence",3,"A",3,0,"motor"
"256","wkig7g26","second","warmth",2.66666666666667,"A",3.66666666666667,-1,"motor"
"257","wkig7g26","third","competence",3.33333333333333,"M",4,-0.666666666666667,"control"
"258","wkig7g26","third","warmth",4,"M",4.66666666666667,-0.666666666666667,"control"
"259","x886pg16","first","competence",3,"L",4.33333333333333,-1.33333333333333,"choice"
"260","x886pg16","first","warmth",2,"L",2.66666666666667,-0.666666666666667,"choice"
"261","x886pg16","second","competence",3,"A",3.66666666666667,-0.666666666666667,"motor"
"262","x886pg16","second","warmth",3,"A",3,0,"motor"
"263","x886pg16","third","competence",5,"M",4,1,"control"
"264","x886pg16","third","warmth",4,"M",3.66666666666667,0.333333333333333,"control"
"265","x9hun3az","first","competence",5.33333333333333,"A",5,0.333333333333333,"choice"
"266","x9hun3az","first","warmth",4.66666666666667,"A",3.66666666666667,1,"choice"
"267","x9hun3az","second","competence",3.66666666666667,"M",3.33333333333333,0.333333333333333,"motor"
"268","x9hun3az","second","warmth",4.33333333333333,"M",4.33333333333333,0,"motor"
"269","x9hun3az","third","competence",5.33333333333333,"L",5,0.333333333333333,"control"
"270","x9hun3az","third","warmth",4.33333333333333,"L",4.33333333333333,0,"control"
"271","yuxt0mr0","first","competence",4.66666666666667,"M",4,0.666666666666667,"choice"
"272","yuxt0mr0","first","warmth",3.33333333333333,"M",4.33333333333333,-1,"choice"
"273","yuxt0mr0","second","competence",5.33333333333333,"L",5.66666666666667,-0.333333333333334,"motor"
"274","yuxt0mr0","second","warmth",2.66666666666667,"L",3,-0.333333333333333,"motor"
"275","yuxt0mr0","third","competence",3.66666666666667,"A",3,0.666666666666667,"control"
"276","yuxt0mr0","third","warmth",4.66666666666667,"A",4,0.666666666666667,"control"
